Organisation name,Effective Date,Unique Property Reference Number,Unique Asset Identity,Name of the building/land or both,Street Name,Town,PostCode,X,Y,Tenure Type,Tenure Detail (see List),Holding Type
Rochdale Borough Council,2021-22,,8917,Birch Road Allotments,Birch Road,Rochdale,,391386.81,416454.3,Freehold,Licence (out),Land
Rochdale Borough Council,2021-22,23105807,204,Bus Station Smith St Land Only,Smith Street,Rochdale, OL16 1YG,389871.37,413353.64,Freehold,Vacant,Land
Rochdale Borough Council,2021-22,23103973,205,The Holme Car Park,Town Meadows,Middleton, OL16 1AG,389394.87,413266.62,Leasehold,Leasehold (In),Land
Rochdale Borough Council,2021-22,,2135,Aboukir Street Car Park,Aboukir Street,Heywood, OL16 2HB,390531.76,413702.35,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,23102291,2143,Agincourt Street Car park,Agincourt Street,Heywood, OL10 3EY,384850.31,410447.93,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2151,Adelaide Street Car Park,Adelaide Street,Rochdale, OL10 4HG,385789.16,410835.95,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2153,Athol Street Car Park,Athol Street,Rochdale, OL12 9BQ,390653.62,414506.44,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2155,Ball Street car park,Ball Street,Heywood, OL16 2EN,390132.13,413765.13,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2157,Buxton Street Car Park,Buxton Street,Heywood, OL10 1BS,385788.71,410221.12,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,23102020,2159,Church Place Car Park,Hartley Street,Heywood, OL10 1LS,385726,410723,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2162,Church Street Car Park,Church Street,Rochdale, OL10 1LW,385720.86,410650.43,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2164,Clapgate Road Car Park,Clapgate Road,Rochdale, OL10 5SN,386127.78,414462.42,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2167,Clover Street Car Park,Clover Street,Rochdale, OL12 6TP,389277.9,413554.26,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2169,Cutgate Car Park,Edenfield Road,Pennine, OL11 5AQ,387619.23,414023.09,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,10023362954,2172,Dale Street Car Park,Dale Street,Rochdale, OL16 3DW,392978.59,412410.69,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2174,Deeplish Street Car Park,Deeplish Street,Rochdale, OL11 1PU,389833.32,412360.57,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2176,Devon Street Car Park Area 1,Devon Street,Rochdale, OL11 1HN,389617.5,412633.08,Freehold,Local Authority Occupied,Land
